Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
facesims,4,simmedium,174581039,2.81,915439,7.11,12876052,791269604,891266145,1.13,458.623725,61976,252418336,5680242,533186,0.454357386,0.994895874
facesims,8,simmedium,177034356,2.85,880358,6.788,12969824,794413035,879115613,1.11,452.069088,61977,254809220,5536299,557970,0.450328827,1.003796029
facesims,1,simlarge,174509918,2.89,655743,5.037,13017445,787132859,897181028,1.14,470.531805,61940,238250744,5585803,500542,0.448547602,1
facesims,2,simlarge,183035006,2.77,885532,6.722,13174426,795286737,856638064,1.08,455.867055,61407,245457388,5457678,454406,0.442166328,1.014431839
facesims,4,simlarge,176271758,2.92,828121,6.354,13032778,785322780,881857994,1.12,469.366411,62004,241920871,5571970,484662,0.452029228,0.992297785
facesims,8,simlarge,175841402,2.87,847340,6.456,13124425,795437885,889177990,1.12,453.165108,61957,234493612,5615786,502554,0.454440117,0.987033462
ferret,1,simsmall,185426578,2.84,1062302,7.575,14023097,863917199,946437257,1.1,492.898738,65831,263935627,5762838,570355,0.492126465,1
ferret,2,simsmall,184502108,2.98,1196907,8.294,14431085,851518668,961929280,1.13,528.736467,65314,262556544,6005935,688226,0.476819038,1.03210322
ferret,4,simsmall,190271187,2.88,759206,5.38,14112330,868639277,948331505,1.09,498.018895,66129,254839804,5687505,536678,0.492700815,0.998834282
ferret,8,simsmall,190718060,2.8,1721548,11.824,14559222,925615892,936411210,1.01,484.130835,65271,250257419,6849699,1350224,0.485281467,1.014105211
ferret,1,simmedium,188612390,2.8,896799,6.603,13581875,862808672,928838031,1.08,486.468101,65503,271504343,6132102,713667,0.511664391,1
ferret,2,simmedium,183273004,2.96,1179830,8.589,13736429,860692239,946779283,1.1,487.272947,65543,258489614,5866132,505353,0.49166131,1.040684674
ferret,4,simmedium,180745300,2.91,907109,6.467,14027729,842900562,946866796,1.12,486.516435,65485,271872824,5800669,634538,0.504601955,1.013996052
ferret,8,simmedium,187398273,2.86,948209,6.816,13911659,864651466,940673756,1.09,486.616212,65771,266340540,5792734,534582,0.490329027,1.04351234
ferret,1,simlarge,193015620,2.74,1215108,9,13500463,857119302,926998287,1.08,490.004803,65510,265840125,6324911,463946,0.510487556,1
ferret,2,simlarge,191467871,2.82,883962,6.411,13788523,835668940,924034017,1.11,479.365481,64992,257220058,5918000,386495,0.501083136,1.018768185
ferret,4,simlarge,191455579,2.82,1395633,9.709,14374147,866768845,935979834,1.08,481.616776,65820,247109731,5694420,487395,0.485751629,1.050922995
ferret,8,simlarge,200368679,2.86,1537784,10.72,14345400,923795544,926494695,1,534.045709,65500,234965581,5789285,641060,0.502356052,1.016186735
streamcluster,1,simsmall,477321653,3.5,8535063,7.916,107817541,5090221473,2903576945,0.57,2209.81,136398,1349583157,41950659,8188583,0.795,1
streamcluster,2,simsmall,595362996,3.07,8560020,7.744,110535200,6151555862,3390305006,0.55,2677.92,136319,1578688415,49386178,8915359,2.121,0.374823197
streamcluster,4,simsmall,4162666327,0.58,10471647,7.032,148921875,26470151351,19462304148,0.74,11481.64,137099,8875552150,65896687,10338615,5.417,0.146760199
